hw1,hw2,tw,bf1,tf1,bf2,tf2,psi,L,y,y_norm
267,800,32.0,800,32.0,400,32.0,-0.75,16000,12207.05689,2.6343092264
700,350,28.0,700,28.0,700,28.0,1.0,9800,11436.98671,0.9988711914
900,225,6.11,225,11.37,450,21.08,1.0,16200,279.6002958,0.8016082341
1000,250,4.8,500,21.58,500,19.74,0.75,36000,592.5741364,1.2913973035
171,600,4.08,300,6.32,150,11.45,0.25,16800,79.59712066,1.9188353252
600,400,2.0,450,14.45,150,7.03,-0.25,20400,734.6908997,7.9562555072
600,240,24.0,300,24.0,300,24.0,-0.75,18000,1580.143939,2.9220145587
467,700,28.0,700,50.84,175,28.0,0.5,4200,105760.5839,4.6342159905
600,400,24.0,150,24.0,150,24.0,0.75,13200,261.8994438,1.1377065062
200,600,2.23,450,34.34,600,6.0,-1.0,16800,3175.626286,2.7094144925
700,200,6.0,175,13.36,175,13.36,0.75,1400,2990.093428,1.0044476475
300,75,2.57,150,2.57,150,2.57,0.75,10800,4.685826384,1.3692759201
240,600,2.51,300,14.05,150,7.03,-0.25,4800,1743.484437,4.1631468619
500,333,3.4,375,12.04,375,14.8,-0.25,8000,2009.465753,2.1682753079
200,300,1.69,225,3.08,75,2.68,-1.0,4800,15.54913617,0.8059122889
120,300,1.26,225,11.37,75,2.68,1.0,7800,98.14643459,4.0677434933
800,533,6.86,600,32.53,200,8.63,0.5,25600,2276.582764,5.248926402
280,700,3.36,175,12.07,175,5.62,-0.75,28000,43.04342865,3.2936320536
229,800,14.4,400,29.05,400,27.58,-0.25,6400,9398.663793,1.874590753
400,400,1.33,300,9.63,100,5.05,0.75,2400,3158.550047,4.3418501877
500,250,2.09,250,2.5,250,2.5,-0.5,10000,78.59385287,2.9930022421
900,900,3.34,225,7.22,225,7.22,0.0,19800,73.17899183,1.9069985724
800,533,2.67,200,13.79,200,13.79,0.0,17600,140.3745801,1.9583862498
286,1000,4.19,500,14.21,750,35.13,1.0,34000,1226.049574,1.0953769447
500,333,3.4,125,5.86,375,14.8,-0.5,11000,162.3210207,1.2606489069
400,160,7.2,100,7.2,300,7.2,0.0,8000,53.92517876,0.8380191072
350,700,2.93,700,12.16,525,32.33,0.25,26600,1750.965162,1.5046012144
500,333,2.81,125,2.81,375,7.89,-0.5,11000,40.35249044,0.7268921675
600,200,2.88,450,9.47,450,9.47,-0.25,22800,440.7875836,2.754323131
400,160,4.65,300,8.53,200,6.42,0.75,10400,144.3405676,1.9938958825
600,600,5.14,450,24.39,600,21.47,0.75,16800,1559.172034,0.9061002381
160,400,4.65,400,17.26,100,6.89,-0.5,8000,927.8994892,4.302168912
600,200,2.51,150,5.37,150,5.37,0.5,10800,20.827229,1.4962680391
160,400,2.72,200,6.42,100,6.16,-0.5,13600,38.00467411,3.5198531587
400,600,5.14,450,21.08,300,8.53,-0.25,20400,1131.720175,4.2560826945
500,250,4.29,375,28.62,375,28.62,0.25,14000,1999.184652,1.6348953479
450,900,7.71,450,27.71,225,17.17,-0.5,14400,2980.097128,4.0210762697
400,200,16.0,300,16.0,300,16.0,0.25,4000,2863.33534,1.6221088709
300,100,3.48,75,4.89,75,4.89,0.25,1200,86.76520295,1.6056048189
700,700,6.0,350,21.55,350,21.55,-1.0,5600,10446.63057,2.6633088349
200,400,3.43,100,4.68,100,5.05,0.5,12800,4.645554307,1.3344433955
400,400,1.92,400,9.89,100,7.63,0.25,13600,372.7794106,5.2616689192
300,900,10.45,450,10.45,450,10.45,1.0,18000,378.3454495,0.9999875354
900,257,36.0,900,62.05,225,36.0,-1.0,3600,96996.17853,1.2194989666
86,300,1.11,225,2.25,225,9.71,-0.25,9600,67.09952309,1.8617894417
1000,1000,3.33,750,46.18,250,14.47,0.5,10000,43285.40215,5.8365363827
400,100,2.72,200,15.26,300,10.74,0.0,16000,159.0557331,1.6567405432
1000,400,40.0,500,40.0,500,40.0,0.0,2000,279550.1443,1.7033307007
1000,500,11.61,500,38.16,500,38.16,0.0,6000,38956.22226,1.9656457495
1000,250,8.57,500,19.74,1000,61.58,-0.25,22000,13566.5058,1.937959969
450,900,3.77,225,15.51,675,31.62,0.75,19800,1017.648755,1.0071276727
400,133,4.65,400,5.47,400,5.47,-0.25,8000,698.7498112,2.5676588697
300,100,12.0,75,12.0,150,12.0,0.75,10800,37.3813478,1.1458197678
1000,667,40.0,250,40.0,250,40.0,-1.0,32000,1871.916685,2.578454789
1000,400,5.62,750,57.24,750,57.24,-0.5,36000,19327.74383,2.6668348558
