hw1;hw2;tw;bf1;tf1;bf2;tf2;psi;L;y
333;1000;4.19;750;40.66;500;16.05;-0.5;22000;9818.566389
600;171;10.8;600;25.89;450;22.74;1;9600;4645.840321
900;300;3.77;225;14.68;450;31.03;-0.25;28800;628.099166
700;467;2.33;700;43.11;525;14.92;1;25200;3978.525007
100;300;5.4;150;10.89;225;5.4;1;3000;187.5720662
600;600;24;450;24;300;24;-1;10800;4238.353867
200;400;2.25;300;10.74;300;15.16;-1;5600;1729.024187
700;350;8.13;175;8.84;350;22.84;-0.25;9800;504.9266246
300;120;2.57;300;16.26;225;8.05;-0.5;10800;701.7481544
225;900;3;450;29.37;225;13.86;1;27000;657.3855553
800;320;6.86;800;22.74;600;43.58;0.5;14400;10524.20561
300;300;1;300;3;225;18;-0.25;8400;305.7819124
500;143;2.4;250;3.42;125;4.47;0.5;4000;225.7702345
700;200;2.6;525;14.92;175;6.91;0.5;15400;956.7573119
400;133;7.2;400;32;300;16.26;0.25;4800;8651.246023
200;300;2.57;75;2.96;225;13.86;-1;10200;107.1322722
600;171;3.38;300;10.74;300;7.42;0.75;12000;201.0353231
700;200;2.33;525;24.59;350;15.11;0;28000;1353.45472
1000;1000;6.79;500;21.58;250;19.08;-0.5;36000;1167.835851
500;333;2.81;375;12.04;375;14.8;0.5;12000;586.5758187
320;800;2.67;400;17.26;200;7.89;0.5;32000;213.7881736
900;900;3.77;225;12.2;675;9.24;0.75;36000;64.82329834
400;133;1.33;200;2;300;10.74;0;12800;58.99591071
200;800;5.43;400;32;400;23.16;0.5;14400;2021.186238
280;700;2.33;700;40.53;350;24.13;-1;5600;20285.57051
400;114;4.65;300;20.68;300;10.74;0;16000;507.0097318
800;229;5.43;400;14.32;600;23.68;-0.75;32000;1029.297319
225;900;10.45;675;29.13;900;68.68;0.25;14400;27817.50192
400;600;3.38;300;5.21;150;3.38;0.5;4800;607.2169655
150;600;2;450;27.71;600;41.37;0.75;9600;6105.76694
1000;500;8.57;750;21.32;500;14.21;0;36000;2331.73362
300;150;1.69;75;3.79;75;2.96;-0.75;5400;8.780399028
700;233;28;700;35.37;350;28;1;21000;3713.727649
360;900;36;675;39.08;450;36;-0.75;34200;6725.375171
700;200;4.75;350;8.66;175;4.97;1;8400;358.8581083
267;400;1.33;200;2;300;16.26;0.75;4800;184.0023432
300;100;12;75;12;300;12.95;1;5400;152.6202201
267;400;2.25;300;10.74;400;24.63;1;8800;665.4105657
133;400;1.67;400;32;200;3.47;0.5;12000;1583.595977
200;700;28;350;28;525;28;-0.5;14000;4147.593888
467;700;3.94;525;28.46;175;3.94;0.75;12600;3049.584058
1000;667;3.71;250;17.24;750;43.42;0.5;4000;7507.790531
500;500;20;250;20;500;20;1;19000;471.2494289
400;267;2.72;200;10.84;200;9.37;0;10400;145.2432712
240;600;2.23;150;9.79;600;25.89;0.75;22800;570.5206699
225;900;3.34;225;14.68;900;25.58;-0.5;19800;3426.148421
1000;500;5.62;750;21.32;500;25.26;0;12000;16743.97468
200;500;2.4;125;7.24;500;21.58;0.75;9000;501.0017052
160;400;3.43;100;5.42;100;5.05;0.5;8000;9.207754497
700;467;2.93;175;2.93;525;12.99;0.5;19600;81.76066894
300;120;1.11;150;10.34;225;17.17;0.75;5400;201.4653098
700;175;3.36;525;24.59;700;17.32;-0.25;26600;2209.053309
250;500;3.4;500;8.68;375;18.95;-0.5;13000;1298.234393
800;200;9.29;800;49.26;800;55.16;-0.25;20800;30583.28568
300;200;1.11;300;20.68;225;15.51;0;11400;746.8990379
300;300;1.11;300;9.63;75;1.86;0;7200;429.1538641
667;1000;40;500;40;500;40;-0.25;22000;7683.156645
125;500;20;250;20;250;20;-1;9000;1369.424982
400;267;4.65;300;15.16;200;4.65;-1;4000;840.4915742
250;1000;40;1000;80;1000;76.32;0;6000;432207.5775
200;300;12;300;18.47;75;12;0;11400;509.380655
267;400;1.92;300;10.74;100;3.21;-0.25;4800;796.0500468
240;600;24;300;24;300;24;0;4800;4815.095246
800;400;3.84;600;25.89;200;11.58;0.75;28800;1139.270412
200;600;2;600;41.37;600;43.58;-0.25;10800;19812.83428
700;200;8.13;525;30.39;525;18.79;-0.5;18200;5437.133415
500;500;2.4;375;23.09;250;12.63;-0.75;20000;915.2289849
600;240;2.23;450;16.11;300;10.74;0.25;19200;662.3398144
600;900;3;225;18;450;11.13;0.5;34200;105.8918683
500;125;20;500;21.58;375;20;-0.75;11000;5615.896102
400;114;1.92;300;8.53;100;3.58;-1;13600;74.52203208
700;175;2.93;525;40.07;350;18.97;1;5600;14174.65998
700;200;12.6;525;30.39;525;26.53;0.5;18200;2919.774249
300;900;16.2;450;19.42;900;28.89;0;10800;7810.572833
1000;333;3.33;250;6.18;250;17.24;1;12000;139.8565195
333;500;2.09;500;5;375;14.8;0;6000;2244.707989
286;1000;11.61;1000;61.58;1000;17.37;0.5;10000;90685.40468
700;467;12.6;700;27.63;175;12.6;0.5;25200;2486.487134
400;400;3.43;200;8.63;200;7.89;0;11200;100.1457937
1000;1000;5.62;250;8.03;750;51.71;-1;36000;3917.548348
75;300;12;300;12;150;12;-0.5;12000;276.1160539
400;800;32;600;32;600;32.53;-0.75;27200;6532.208851
267;800;5.43;600;12.63;200;6.42;0.5;19200;718.6252416
800;800;2.97;400;17.26;400;21.68;-0.75;30400;911.7840233
700;700;2.6;525;22.66;700;7;0;23800;1719.726748
100;400;1.92;300;20.68;300;20.68;-0.5;11200;1183.913141
700;350;12.6;175;12.6;175;13.36;1;14000;86.96965541
900;900;6.11;225;6.11;900;32.21;-0.25;28800;1541.261234
500;125;2.4;500;25.26;375;23.09;-0.75;16000;4095.556309
240;600;3.38;450;29.37;300;24;-0.75;22800;1961.744064
900;360;3;225;16.34;225;11.37;0.25;34200;76.51771816
667;1000;4.19;1000;57.89;750;21.32;0.25;36000;15766.74107
900;900;10.45;450;26.05;675;46.54;-0.5;7200;27033.28845
171;600;2;150;8.68;150;7.03;1;2400;324.1813204
1000;1000;8.57;500;10.53;750;13.03;0.5;12000;2351.911405
1000;1000;6.79;500;34.47;250;11.71;-0.25;24000;3486.118566
533;800;3.35;600;48;400;27.58;0;12800;16737.07094
267;400;1.33;200;13.79;400;29.05;-0.25;4000;2720.413419
900;360;7.71;450;19.42;225;13.03;0.75;16200;971.615063
667;1000;8.57;250;17.24;1000;50.53;-0.25;14000;9737.976613
300;100;12;75;12;150;12;0.75;10800;37.3813478
1000;500;5.62;500;23.42;1000;46.84;0.5;30000;4596.972225
